year,bevoegdgezag,bestuur_key,bevoegd_gezagnaam,postcode_bevoegd_gezag,eenpitter,aantal_leerlingen,categorie_bestuuromvang,aantal_gewichtleerlingen,gemiddeld_leerlinggewicht,aandeel_apcg_leerlingen,aandeel_lwoo_leerlingen,aantal_voltijdleerlingen,aantal_deeltijdleerlingen,aantal_leerlingen_vbo_groen,aantal_bol_leerlingen,aantal_bol_deeltijdleerlingen,aantal_bbl_leerlingen,aandeel_leerlingen_randstad,omvang_formatie_totaal,omvang_formatie_manager,omvang_formatie_op,omvang_formatie_lio,omvang_formatie_oop_obp,omvang_formatie_onbekend,leerling_leraar_ratio,gewogen_deelnemer_leraar_ratio,omvang_formatie_op_la,omvang_formatie_op_lb,omvang_formatie_op_lc,omvang_formatie_op_ld,omvang_formatie_op_le,omvang_formatie_op_overig,aandeel_formatie_op_la,aandeel_formatie_op_lb,aandeel_formatie_op_lc,aandeel_formatie_op_ld,aandeel_formatie_op_le,aandeel_formatie_op_overig,streefpercentage_formatie_op_la,streefpercentage_formatie_op_lb,streefpercentage_formatie_op_lc,streefpercentage_formatie_op_ld,streefpercentage_formatie_op_le,streefpercentage_formatie_op_ove,omvang_formatie_op_brutsal,loonsom_op_brutsal,gemiddelde_loonsom_op_brutsal,solvabiliteiti,solvabiliteitii,rentabiliteit,liquiditeitcurrentratio,liquiditeitquickratio,weerstandsvermogenexclusiefmater,weerstandsvermogen,personeelslastenrijksbijdragen,personeelslastentotaalbatenplusf,personeelslastentotaallastenplus,voorzieningentotaalbatenplusfina,rijksbijdragentotaalbatenplusfin,overigeoverheidsbijdragenensubsi,huisvestingsratio,kapitalisatiefactor,algemenereservetotaalbatenplusfi,investeringeninventarisenapparat,nettowerkkapitaal,aantalinstellingen,variatieinlb
2015,41862,41862-2015,Stichting Openbaar Primair Onderwijs Deventer,7425,0,3874,3,4150,1.1,0,0,0,0,0,0,0,0,,287.5,20.4,217.3,12,37.900002,0,17.799999,,186.60001,29.799999,0,0,0,.89999998,85.900002,13.7,0,0,0,.40000001,,,,,,,217.27,685872.5,3156.78,.59,.74,-.05,1.62,1.62,0,.26,.94999999,.87,.82999998,.07,.91000003,.02,.07,.32,.23,.01,.07,15,1.2547054
2016,41862,41862-2016,Stichting Openbaar Primair Onderwijs Deventer,7425,0,3754,3,4023.1001,1.1,0,0,0,0,0,0,0,0,,279.89999,17.5,217.8,0,44.700001,0,17.200001,,183.60001,33.299999,0,0,0,.89999998,84.300003,15.3,0,0,0,.40000001,,,,,,,217.78999,711104.19,3265.0601,.58,.75,-.01,1.71,1.71,.01,.24,.89999998,.83999997,.82999998,.07,.94,.02,.06,.3,.22,.01,.07,15,1.1762329
2017,41862,41862-2017,Stichting Openbaar Primair Onderwijs Deventer,7425,0,3677,3,3949.7,1.1,0,0,0,0,0,0,0,0,,265.5,15.3,208.8,4.0999999,37.200001,0,17.6,,177.5,30.4,0,0,0,.89999998,85,14.6,0,0,0,.40000001,,,,,,,208.84,684906.19,3279.52,,,,,,,,,,,,,,,,,,,15,1.4631994
2012,41863,41863-2012,Stichting Islamitisch Primair Onderwijs,4816,0,457,1,693.09998,1.5,0,0,0,0,0,0,0,0,,46.400002,2,32.400002,0,12,0,14.1,,31.4,1,0,0,0,0,96.900002,3.0999999,0,0,0,0,,,,,,,32.360001,97141.438,3002.1899,.6800000000000001,.72,-.03,2.68,2.68,.17,.35,.89999998,.85000002,.81999999,.02,.94999999,.03,.06,.46,.27,.03,.2,3,.57735026
2013,41863,41863-2013,Stichting Islamitisch Primair Onderwijs,4816,0,486,1,723.59998,1.5,0,0,0,0,0,0,0,0,,43,2.2,31.700001,0,9,0,15.3,,30.299999,1.4,0,0,0,0,95.5,4.5,0,0,0,0,,,,,,,31.74,96339.992,3035.55,.65,.6800000000000001,.04,2.52,2.52,.22,.38,.81999999,.76999998,.80000001,.02,.94,.04,.08,.54,.3,.01,.25,3,.5033223
2014,41863,41863-2014,Stichting Islamitisch Primair Onderwijs,4816,0,518,2,771.5,1.5,0,0,0,0,0,0,0,0,,42.700001,1.9,30.799999,0,10,0,16.799999,,27.799999,3,0,0,0,0,90.300003,9.6999998,0,0,0,0,58,40,2,0,0,0,30.799999,94078.133,3054.51,.78,.82,.09,5.21,5.21,.32,.47,.77999997,.74000001,.81,.029999999,.94999999,.03,.06,.55,.38,.02,.35,3,1
2015,41863,41863-2015,Stichting Islamitisch Primair Onderwijs,4816,0,579,2,846,1.5,0,0,0,0,0,0,0,0,,46.5,2,33.900002,0,10.6,0,17.1,,30.9,3,0,0,0,0,91.199997,8.8000002,0,0,0,0,,,,,,,33.91,104605.37,3084.52,.75,.8,.07,4.68,4.68,.36,.48,.80000001,.75,.80000001,.029999999,.94,.05,.06,.61,.4,.02,.4,3,1
2016,41863,41863-2016,Stichting Islamitisch Primair Onderwijs,4816,0,614,2,884,1.4,0,0,0,0,0,0,0,0,,50.299999,3,34.599998,0,12.7,0,17.700001,,31.200001,3.4000001,0,0,0,0,90.199997,9.8000002,0,0,0,0,,,,,,,34.639999,111687.6,3224.3999,.72,.78,.08,4,4,.38,.53,.75999999,.72000003,.79000002,.050000001,.95999998,.03,.07,.7,.46,.05,.43,3,.98657656
2017,41863,41863-2017,Stichting Islamitisch Primair Onderwijs,4816,0,662,2,944.90002,1.4,0,0,0,0,0,0,0,0,,54.900002,2,39.299999,0,13.5,0,16.799999,,37.099998,2.3,0,0,0,0,94.300003,5.6999998,0,0,0,0,,,,,,,39.349998,124662.88,3168.4299,,,,,,,,,,,,,,,,,,,3,.7094599
2012,41866,41866-2012,Stichting Openbaar Onderwijs Houten,3993,0,1223,2,1270.1,1,0,0,0,0,0,0,0,0,,67.800003,5.5999999,60.200001,0,2,0,20.299999,,49,11.2,0,0,0,0,81.300003,18.700001,0,0,0,0,,,,,,,60.23,184279.3,3059.3799,.63,.76,0,3.03,3.03,.15,.25,.87,.81999999,.81999999,.050000001,.94,.01,.07,.4,.25,.01,.2,5,1.2973049
2013,41866,41866-2013,Stichting Openbaar Onderwijs Houten,3993,0,1285,2,1331.2,1,0,0,0,0,0,0,0,0,,69.699997,6.4000001,61.700001,0,1.6,0,20.799999,,49.5,12.2,0,0,0,0,80.300003,19.700001,0,0,0,0,,,,,,,61.700001,189643.13,3073.73,.7,.82,.07,4.21,4.21,.22,.31,.81,.77999997,.82999998,.050000001,.95999998,.01,.07,.44,.28,.01,.26,5,1.3557286
