bevoegdgezag,sector,groepering,naam,year,bestuur_key,lonenensalarissen,socialelasten,pensioenlasten,lastenpersoneelnietinloondienst,personeelslasten,lonenensalarissentotaalpersoneel,socialelastentotaalpersoneel,pensioenlastentotaalpersoneel,lastenpersoneelnietinloondienstt,afschrijvingenopmateriãlevasteac,afschrijvingen,huurlasten,onderhoudslastenkleinonderhoud,lastenvoorenergieenwater,schoonmaakkosten,belastingenenheffingen,overigeoverigehuisvestingslasten,huisvestingslasten,administratieenbeheerslasten,inventarisenapparatuur,overigeoverigeoverigelasten,overigelasten,accountantshonorariainzakehetond,accountantshonoraria,bevoegd_gezagnummer,bevoegd_gezagnaam,postcode_bevoegd_gezag,eenpitter,aantal_leerlingen,categorie_bestuuromvang,aantal_gewichtleerlingen,gemiddeld_leerlinggewicht,aandeel_apcg_leerlingen,aandeel_lwoo_leerlingen,aantal_voltijdleerlingen,aantal_deeltijdleerlingen,aantal_leerlingen_vbo_groen,aantal_bol_leerlingen,aantal_bol_deeltijdleerlingen,aantal_bbl_leerlingen,aandeel_leerlingen_randstad,omvang_formatie_totaal,omvang_formatie_manager,omvang_formatie_op,omvang_formatie_lio,omvang_formatie_oop_obp,omvang_formatie_onbekend,leerling_leraar_ratio,gewogen_deelnemer_leraar_ratio,omvang_formatie_op_la,omvang_formatie_op_lb,omvang_formatie_op_lc,omvang_formatie_op_ld,omvang_formatie_op_le,omvang_formatie_op_overig,aandeel_formatie_op_la,aandeel_formatie_op_lb,aandeel_formatie_op_lc,aandeel_formatie_op_ld,aandeel_formatie_op_le,aandeel_formatie_op_overig,streefpercentage_formatie_op_la,streefpercentage_formatie_op_lb,streefpercentage_formatie_op_lc,streefpercentage_formatie_op_ld,streefpercentage_formatie_op_le,streefpercentage_formatie_op_ove,omvang_formatie_op_brutsal,loonsom_op_brutsal,gemiddelde_loonsom_op_brutsal,solvabiliteiti,solvabiliteitii,rentabiliteit,liquiditeitcurrentratio,liquiditeitquickratio,weerstandsvermogenexclusiefmater,weerstandsvermogen,personeelslastenrijksbijdragen,personeelslastentotaalbatenplusf,personeelslastentotaallastenplus,voorzieningentotaalbatenplusfina,rijksbijdragentotaalbatenplusfin,overigeoverheidsbijdragenensubsi,huisvestingsratio,kapitalisatiefactor,algemenereservetotaalbatenplusfi,investeringeninventarisenapparat,nettowerkkapitaal,aantalinstellingen,variatieinlb,_merge
88674,PO,BO1,Ver. Chr. onderwijs Neerl.br.,2012,88674-2012,361723,75749,47523,,516384,0.70,0.15,0.09,0.00,19150,19150,4693,4398,7595,1296,389,2866,28737,24768,28809,19090,72667,1589,1589,88674,Ver. Bevordering Christelijk Schoolonderwijs Neerlangbroek,3941,1,121,1,121,1,0,0,0,0,0,0,0,0,,7.5999999,.89999998,6.3000002,0,.40000001,0,19.299999,,5.3000002,1,0,0,0,0,84.599998,15.4,0,0,0,0,,,,,,,3.9400001,10731.02,2721.3999,0.68,0.80,-0.06,3.44,3.44,0.19,0.33,0.93,0.87,0.81,0.06,0.93,0.00,0.05,0.49,0.32,0.05,0.24,1,0,matched (3)
88674,PO,BO1,Ver. Chr. onderwijs Neerl.br.,2013,88674-2013,374459,77807,51112,,507177,0.74,0.15,0.10,0.00,17793,17793,4899,3038,10527,1005,328,1793,29090,41995,28424,18509,88928,1903,1903,88674,Ver. Bevordering Christelijk Schoolonderwijs Neerlangbroek,3941,1,124,1,124.9,1,0,0,0,0,0,0,0,0,,8.1999998,.89999998,5.5,0,1.8,0,22.5,,4.5,1,0,0,0,0,82.5,17.5,0,0,0,0,,,,,,,5.5100002,16046.98,2914.0801,0.64,0.79,-0.02,3.28,3.28,0.17,0.30,0.85,0.81,0.79,0.07,0.95,0.00,0.05,0.46,0.29,0.00,0.23,1,0,matched (3)
88674,PO,BO1,Ver. Chr. onderwijs Neerl.br.,2014,88674-2014,345215,71708,47154,11929,506228,0.68,0.14,0.09,0.02,16175,16175,,5426,14836,635,343,2457,-12627,32067,36011,13498,81576,2480,2480,88674,Ver. Bevordering Christelijk Schoolonderwijs Neerlangbroek,3941,1,124,1,127.6,1,0,0,0,0,0,0,0,0,,8.3999996,.89999998,6.5999999,0,.89999998,0,18.799999,,5.5999999,1,0,0,0,0,85.400002,14.6,0,0,0,0,58,40,2,0,0,0,6.5799999,19004.561,2888.0601,0.71,0.73,0.07,2.83,2.83,0.25,0.35,0.83,0.79,0.86,0.01,0.95,0.00,-0.02,0.50,0.34,-0.04,0.25,1,0,matched (3)
88674,PO,BO1,Ver. Chr. onderwijs Neerl.br.,2015,88674-2015,368182,74406,42210,5058,506168,0.73,0.15,0.08,0.01,21969,21969,0,6456,9544,511,262,260,34033,28871,1758,13545,74642,3562,3562,88674,Ver. Bevordering Christelijk Schoolonderwijs Neerlangbroek,3941,1,126,1,130.5,1,0,0,0,0,0,0,0,0,,8.1999998,.89999998,6.4000001,0,.89999998,0,19.700001,,5.4000001,1,0,0,0,0,84.900002,15.1,0,0,0,0,,,,,,,6.4000001,18152.76,2836.6799,0.63,0.69,0.00,2.48,2.48,0.13,0.35,0.83,0.79,0.79,0.03,0.96,0.00,0.05,0.56,0.34,0.09,0.20,1,0,matched (3)
88674,PO,BO1,Ver. Chr. onderwijs Neerl.br.,2016,88674-2016,375613,75432,41493,5116,510413,0.74,0.15,0.08,0.01,19029,19029,0,6064,6305,878,368,265,33880,23551,3167,28794,88158,3516,3516,88674,Ver. Bevordering Christelijk Schoolonderwijs Neerlangbroek,3941,1,125,1,129.8,1,0,0,0,0,0,0,0,0,,8.1999998,.69999999,6.5999999,0,.89999998,0,18.9,,5.8000002,.89999998,0,0,0,0,87.199997,12.8,0,0,0,0,,,,,,,6.6300001,20333.369,3067.8899,0.67,0.77,0.04,2.43,2.43,0.06,0.37,0.81,0.75,0.78,0.06,0.94,0.00,0.05,0.55,0.37,0.01,0.14,1,0,matched (3)
88752,PO,BO1,Ver v PC Bo Nieuwendijk,2012,88752-2012,841762,176539,116042,,1141512,0.74,0.15,0.10,0.00,34024,34024,,7504,32804,4467,6251,2050,53076,24453,46833,38877,110163,1936,1936,88752,Ver. Protestants-Christelijk Basisonderwijs te Nieuwendijk,4255,1,289,1,307.60001,1.1,0,0,0,0,0,0,0,0,,18,1.9,13.1,0,3.0999999,0,22.1,,11.9,1.1,0,0,0,0,91.300003,8.6999998,0,0,0,0,,,,,,,13.06,42343.02,3243.1399,0.71,0.75,-0.01,2.41,2.41,0.12,0.24,0.92,0.87,0.85,0.01,0.94,0.01,0.04,0.34,0.04,0.00,0.12,1,0,matched (3)
88752,PO,BO1,Ver v PC Bo Nieuwendijk,2013,88752-2013,804348,172153,118371,,1097882,0.73,0.16,0.11,0.00,29194,29194,,15675,41521,6122,6385,1563,71266,24901,49245,42926,117072,2000,2000,88752,Ver. Protestants-Christelijk Basisonderwijs te Nieuwendijk,4255,1,277,1,294.39999,1.1,0,0,0,0,0,0,0,0,,17.4,1.9,12.7,0,2.8,0,21.799999,,11.6,1.1,0,0,0,0,91.099998,8.8999996,0,0,0,0,,,,,,,12.71,40712.352,3201.97,0.74,0.77,0.07,3.12,3.12,0.19,0.29,0.83,0.78,0.83,0.01,0.94,0.00,0.05,0.39,0.05,0.01,0.19,1,0,matched (3)
88752,PO,BO1,Ver v PC Bo Nieuwendijk,2014,88752-2014,857750,197806,123192,,1121412,0.76,0.18,0.11,0.00,33771,33771,,12774,32583,4922,6383,1137,57799,25525,51444,57351,134320,2033,2033,88752,Ver. Protestants-Christelijk Basisonderwijs te Nieuwendijk,4255,1,279,1,294,1.1,0,0,0,0,0,0,0,0,,18.1,1.9,13.2,0,3,0,21.1,,12.1,1.1,0,0,0,0,91.400002,8.6000004,0,0,0,0,58,40,2,0,0,0,13.23,42854.762,3238.6699,0.75,0.78,0.00,3.10,3.10,0.19,0.31,0.89,0.83,0.83,0.01,0.94,0.02,0.04,0.41,0.07,0.04,0.19,1,0,matched (3)
88752,PO,BO1,Ver v PC Bo Nieuwendijk,2015,88752-2015,830666,190657,102033,,1122682,0.74,0.17,0.09,0.00,33990,33990,,4194,32460,5440,6512,2044,50650,25290,,57714,134615,2481,2481,88752,Ver. Protestants-Christelijk Basisonderwijs te Nieuwendijk,4255,1,285,1,297.29999,1,0,0,0,0,0,0,0,0,,17.6,1.9,12.9,0,2.9000001,0,22.200001,,11.7,1.1,0,0,0,0,91.199997,8.8000002,0,0,0,0,,,,,,,12.85,40514.02,3152.4199,0.77,0.81,0.04,3.84,3.84,0.23,0.34,0.84,0.80,0.84,0.02,0.95,0.02,0.04,0.43,0.07,0.02,0.23,1,0,matched (3)
88752,PO,BO1,Ver v PC Bo Nieuwendijk,2016,88752-2016,856519,187165,97797,0,1131729,0.76,0.17,0.09,0.00,32553,32553,0,4766,32531,5458,7371,2342,72468,28376,85,58789,145653,2230,2230,88752,Ver. Protestants-Christelijk Basisonderwijs te Nieuwendijk,4255,1,285,1,294.29999,1,0,0,0,0,0,0,0,0,,17.4,1.9,12.5,0,3,0,22.799999,,11.4,1.1,0,0,0,0,90.900002,9.1000004,0,0,0,0,,,,,,,12.52,41069.441,3279.73,0.75,0.80,0.04,3.84,3.84,0.27,0.37,0.82,0.78,0.82,0.03,0.96,0.02,0.05,0.49,0.13,0.02,0.29,1,0,matched (3)
