Bgnum,Naam,LA,LB,LC,LD,LE,Rest,Leraren,Leerlingen,SolvabiliteitI.2016,SolvabiliteitII.2016,Rentabiliteit.2016,Liquiditeitcurrentratio.2016,Liquiditeitquickratio.2016,Weerstandsvermogenexclusiefmateriëlevasteactiva.2016,Weerstandsvermogen.2016,Personeelslastenrijksbijdragen.2016,Personeelslastentotaalbatenplusfinanciëlebaten.2016,Personeelslastentotaallastenplusfinanciëlelasten.2016,Voorzieningentotaalbatenplusfinanciëlebaten.2016,Rijksbijdragentotaalbatenplusfinanciëlebaten.2016,Huisvestingsratio.2016,Investeringenhuisvestingtotaalbatenplusfinanciëlebaten.2016,Kapitalisatiefactor.2016,Nettowerkkapitaal.2016
39600,Stg. Kath. en Prot. Christ. BO Vught e.o. Leijestroom,76.10,23.90,0.00,0.00,0.00,0.00,94.80,1965.00,0.5067941029030940,0.6605049181434950,0.18,1.6821440764766100,1.6821440764766100,2.40,14.75,87.06,82.13,82.28,4.47,94.33,5.80,,0.2910552978077280,6.74
39859,Vereniging Nutsschool Wassenaar,65.90,34.10,0.00,0.00,0.00,0.00,14.30,248.00,0.7859116838104490,0.8191828750352830,1.92,3.1744840355048900,3.1744840355048900,21.19,35.48,88.97,77.74,79.26,1.50,87.38,4.83,7.47,0.3705960830037560,17.75
39912,Stichting onderwijsgemeenschap 'De Hoeve',70.90,29.10,0.00,0.00,0.00,0.00,15.90,351.00,0.7446592377984750,0.8915678743190860,2.00,6.5999837918878400,6.5999837918878400,33.14,51.66,84.91,81.83,83.50,10.19,96.37,5.30,0.94,0.6774620472045420,42.12
40020,Stg. Onderwijsgr. Amstelland stg. voor RK/PC basisonderwijs,75.70,24.30,0.00,0.00,0.00,0.00,198.00,4197.00,0.6336080256837080,0.7387933387501000,1.80,2.1039910541852400,2.1022442352955400,6.92,22.19,85.03,78.80,80.25,3.68,92.67,10.76,0.44,0.3197066022535950,10.10
40048,Stichting Islamitische Basisscholen,91.70,8.30,0.00,0.00,0.00,0.00,4.80,77.00,0.4497690457709290,0.8314115929752100,-42.03,4.4978650449634500,4.4978650449634500,22.04,43.26,106.04,101.84,71.70,36.71,96.04,8.74,,0.9618063690436650,56.72
40077,Stichting Noor,79.40,20.60,0.00,0.00,0.00,0.00,50.50,986.00,0.2000129040583260,0.2845835484009720,2.76,0.7474059885144830,0.7474059885144830,-6.30,5.34,81.15,77.31,79.50,2.26,95.27,7.68,0.03,0.2667278751447530,-4.82
40114,Stg. Prisma stg. prot. chr. & oecumen. onderwijs in Almere,70.70,28.70,0.60,0.00,0.00,0.00,244.70,5059.00,0.4689500425481070,0.6209813677393620,-0.07,1.4247424554553200,1.4247424554553200,8.32,19.07,84.51,82.07,82.01,6.18,97.10,7.87,0.00,0.3989527851695910,6.38
40144,Stichting Montessorischool De Triangel,49.10,50.90,0.00,0.00,0.00,0.00,12.50,234.00,0.4966936657258660,0.7202146820470860,-6.45,2.5585982543088600,2.5585982543088600,8.90,19.77,95.23,90.55,85.06,8.90,95.08,6.97,,0.3979740812323190,17.35
40189,Verenig. Schol. der Evangel. Broedergemeenten in Amsterdam,100.00,0.00,0.00,0.00,0.00,0.00,19.30,356.00,0.7538495340965160,0.7741331705583190,0.50,3.0801787504731000,3.0801787504731000,29.08,45.91,85.15,80.17,80.57,1.24,94.15,7.11,,0.6090705305042700,28.62
40207,Stichting Montessorischool Veenendaal,59.60,35.20,5.20,0.00,0.00,0.00,11.50,261.00,0.6948079358379060,0.8526424516022200,-0.82,4.0330118728527100,4.0330118728527100,17.03,38.07,84.77,78.86,78.21,8.65,93.03,8.31,,0.5479742122432340,24.49
40257,Stichting Atlant Basisonderwijs,72.90,26.40,0.00,0.00,0.00,0.70,146.10,2763.00,0.7960763311740140,0.8508515227052260,2.24,3.5021761380753100,3.5021761380753100,26.21,42.59,82.53,80.08,81.92,2.93,97.04,8.00,0.00,0.4958734434569590,19.97
40269,Stichting Interconfessioneel Basisonderwijs te Rotterdam eo,71.60,28.40,0.00,0.00,0.00,0.00,15.40,329.00,0.7791005021022980,0.8280499096364300,8.39,4.8430028314821900,4.8430028314821900,82.03,86.78,87.99,72.86,79.53,5.45,82.80,6.44,,1.1138204535085800,73.42
40272,Islam. Stg. Ned. Ond. en Opv.- ISNO Yunus Emre Den Haag,82.10,17.90,0.00,0.00,0.00,0.00,63.10,1180.00,0.6499459714461480,0.7042673222647280,-2.01,2.1028059256567500,2.1028059256567500,12.41,27.38,80.17,73.97,72.51,2.29,92.26,9.52,,0.4194197122714270,13.74
40278,Stichting Delta Onderwijs,70.10,29.90,0.00,0.00,0.00,0.00,194.60,3740.00,0.6736165258272320,0.8141777240114210,-0.64,3.9597657357736400,3.9597657357736400,22.07,36.29,83.92,81.01,80.49,7.57,96.53,9.08,0.42,0.5288001213885570,28.73
40281,Stichting Jenapl. Basisschool Vlinderbos,80.00,20.00,0.00,0.00,0.00,0.00,10.70,231.00,0.6186581179529870,0.8002504076002830,-5.10,4.1254709638313600,4.1254709638313600,31.19,41.86,86.22,82.79,78.77,12.29,96.02,6.95,0.00,0.6647544119467670,42.24
40284,Stichting Basisschool Icarus Heemstede,52.50,47.50,0.00,0.00,0.00,0.00,10.30,235.00,0.4733811061023080,0.7429991837337410,-2.96,2.3000478812544900,2.3000478812544900,2.86,19.26,87.69,80.44,78.13,10.97,91.73,7.48,,0.4067792933717100,13.59
40294,Stichting Nederl. Islamitische Scholen,56.60,36.80,6.60,0.00,0.00,0.00,42.20,677.00,0.5621118359762970,0.6144466094039260,-7.13,2.0024657317968600,2.0024657317968600,38.93,60.97,95.19,88.63,82.73,5.68,93.10,6.18,,0.9608453833172730,41.93
40301,Vereniging voor Christelijk Onderwijs te Valkenburg Z.H.,86.60,13.40,0.00,0.00,0.00,0.00,18.90,410.00,0.6813168124782410,0.8254649097615410,-0.13,3.8099166716458400,3.8099166716458400,25.14,47.59,82.51,79.39,79.29,10.07,96.22,8.24,2.19,0.6154420713598900,34.26
40306,Stg. Algem. Bijzonder Onderw. Flevoland,64.60,35.40,0.00,0.00,0.00,0.00,10.30,214.00,,,,,,,,,,,,,,,,
40307,Stg. Islamitisch Basisonderw. Parkstad Limburg (IBPL),64.10,35.90,0.00,0.00,0.00,0.00,9.20,178.00,0.7426909591070760,0.8953440669347630,15.71,8.4237199979702700,8.4237199979702700,48.06,52.96,73.14,67.74,80.38,10.88,92.63,7.25,,0.7130289656687060,55.40
40327,Ver. Onderw. op Gereformeerde Grondslag te Ridderkerk,73.20,26.80,0.00,0.00,0.00,0.00,13.50,268.00,0.7430633838487250,0.8807352500587350,4.09,4.5784161350369600,4.5784161350369600,22.50,49.19,80.49,77.08,80.37,9.11,95.76,6.78,,0.5558057211832740,28.25
40329,Vereniging Ibogo,61.70,38.30,0.00,0.00,0.00,0.00,6.40,150.00,0.8132414700702520,0.8831298020166050,8.79,6.0240113929919900,6.0240113929919900,40.26,61.84,67.23,65.68,72.01,5.31,97.70,12.61,1.30,0.7114507007224290,44.65
40340,De Vlissingse Schoolvereniging,56.00,44.00,0.00,0.00,0.00,0.00,10.30,229.00,0.6958686211630590,0.8524319621118770,6.84,5.6607469128719300,5.6607469128719300,39.06,45.11,81.04,75.62,81.17,10.15,93.32,5.93,,0.6472918124917150,44.58
40342,Verenig. v. P-C Basis Onderw. Smallingerland en omstreken,79.10,20.30,0.60,0.00,0.00,0.00,115.10,2041.00,0.7020047283955900,0.7778329834741560,-2.44,1.3448722056079200,1.3448722056079200,22.56,38.11,86.09,84.19,82.18,4.12,97.79,4.50,0.08,0.5061045940342350,4.16
40350,Stichting Montessori Onderwijs Houten,66.70,33.30,0.00,0.00,0.00,0.00,20.20,377.00,0.5776575089209310,0.8068901070511680,-2.64,4.2790495493093000,4.2790495493093000,22.02,31.62,85.28,82.09,79.97,12.55,96.26,8.98,,0.5404954112731060,33.96
40355,Vereniging voor Algemeen Bijz. Montessorionderw. Haaksbergen,86.80,13.20,0.00,0.00,0.00,0.00,4.50,84.00,0.6670343575230130,0.8541104424847150,6.15,5.2041075755770100,5.2041075755770100,41.44,61.60,75.76,71.96,76.67,17.28,94.98,10.73,,0.9158203267856090,56.64
40363,Stg. Alg. Bijzonder Onderwijs Hoorn,72.50,27.50,0.00,0.00,0.00,0.00,17.10,337.00,0.5175473316181810,0.5584102629771480,1.40,1.5735155844954700,1.5735155844954700,6.22,14.64,84.16,81.33,82.48,1.16,96.64,6.45,0.96,0.2426435237323740,7.16
40377,Stichting Unicoz onderwijsgroep,65.00,34.70,0.30,0.00,0.00,0.00,316.00,6234.00,,,,,,,,,,,,,,,,
40378,Stg. Kath. en Prot.-Chr. Onderw. Eindhov. e.o.,62.50,37.50,0.00,0.00,0.00,0.00,573.00,10123.00,0.6547405754685600,0.8005956091665060,1.23,2.5441746885241900,2.5441746885241900,12.45,27.58,84.93,79.93,80.92,6.14,94.10,8.44,0.34,0.4115508934307080,12.97
40389,Stichting Islamitisch Onderwijs Iqra,80.30,19.70,0.00,0.00,0.00,0.00,35.50,514.00,0.7042996336778710,0.8242986643235390,-3.50,5.3323118767407400,5.3323118767407400,52.56,54.31,95.32,88.59,85.59,9.25,92.94,5.07,,0.7711087836157720,57.99
40390,Stichting Islamitisch Onderwijs Utrecht,78.90,21.10,0.00,0.00,0.00,0.00,23.60,421.00,0.4570263674192680,0.7721923801085390,9.76,3.7226852454746700,3.7226852454746700,14.99,19.72,83.21,73.09,81.00,13.60,87.84,7.29,0.00,0.4278014652830490,26.76
40400,Stichting Islamitische Scholen El-Amal,77.90,22.10,0.00,0.00,0.00,0.00,55.00,1293.00,0.3853020287212220,0.4260502621381350,2.77,0.7436522443646390,0.7436522443646390,-5.10,9.74,82.02,76.44,78.62,1.03,93.19,7.67,0.09,0.2080075758514410,-3.72
40419,Stg. tot het verstr. ond. GG uitg. Geref. in Ned. Barneveld,81.20,18.80,0.00,0.00,0.00,0.00,41.30,724.00,0.7895978090911610,0.8663129261771050,1.36,5.6730602866574900,5.6730602866574900,37.42,51.54,86.89,83.06,84.20,5.01,95.59,3.77,0.26,0.6492917857290600,40.78
40470,Stichting Rijdende School,60.90,35.20,4.00,0.00,0.00,0.00,25.30,17.00,0.8723453490911830,0.9225244782687110,5.00,7.0179288616459600,7.0179288616459600,38.65,79.98,77.75,76.75,80.78,4.60,98.70,3.16,,0.9168727209272370,42.75
40508,Stichting Prohles,80.20,19.40,0.40,0.00,0.00,0.00,174.60,3490.00,0.7731652007596880,0.8496965235263470,2.53,4.3617304810467800,4.3617304810467800,25.60,39.23,83.88,80.69,82.78,3.88,96.20,6.24,,0.4677082555312100,25.64
40514,Stichting De Kosmos,56.60,43.40,0.00,0.00,0.00,0.00,14.90,333.00,0.7502677199444390,0.7601631082736530,7.80,3.3398485444195600,3.3398485444195600,41.97,55.57,74.01,72.00,78.09,0.73,97.28,4.79,,0.7406477550846890,41.56
40517,Lowys Porquinstichting,73.00,26.60,0.30,0.00,0.00,0.00,313.70,5879.00,0.7590336233388650,0.8170149179592920,0.35,3.6341459151967700,3.6341459151967700,22.69,40.08,82.56,79.53,79.81,3.06,96.33,8.52,0.63,0.4789711899934890,24.56
40524,Stichting Kathol. Onderw. Tilburg ZO-,64.80,35.20,0.00,0.00,0.00,0.00,72.80,1173.00,0.5540423466446970,0.7496307721293230,3.90,2.9426202815112000,2.9426202815112000,11.31,22.48,80.45,73.64,76.62,7.94,91.53,8.57,,0.4057834805531910,18.78
40530,Stichting voor Christelijk Onderwijs te Alphen aan den Rijn en omstreken,74.60,23.20,2.20,0.00,0.00,0.00,158.90,2808.00,0.5764585061354980,0.7499160739755780,4.10,2.9443826921155000,2.9443826921155000,14.21,25.27,83.13,80.24,83.67,7.60,96.52,7.40,0.27,0.4083656943725390,21.32
40535,Verenig. School met de Bijbel te Stolwijk,94.50,5.50,0.00,0.00,0.00,0.00,9.30,186.00,0.8690937286437890,0.9272893168128050,0.18,12.3324394069726000,12.3324394069726000,91.33,99.98,80.77,77.91,78.04,6.69,96.45,7.87,,1.1503659397249600,94.79
40540,Protestants-Christelijke Schoolvereniging Voorschoten,77.00,23.00,0.00,0.00,0.00,0.00,43.50,865.00,0.6782540731522750,0.8535516545748780,0.19,4.3552579900829700,4.3552579900829700,33.63,52.63,80.77,77.27,77.42,13.60,95.66,9.37,,0.7760355229050670,38.13
40557,De Eenbes Stichting Kathol. Prot.-Chr./Interc. Pr. Onderw.,66.00,34.00,0.00,0.00,0.00,0.00,239.00,4916.00,0.7363263851772670,0.8494566185640480,0.69,1.7376725838264300,1.7376725838264300,28.47,42.98,81.61,78.92,79.47,6.60,96.70,9.04,,0.5774203611910290,6.48
40558,Stichting Montessorischool Enkhuizen,73.80,26.20,0.00,0.00,0.00,0.00,6.10,102.00,0.3957651155282940,0.6710383710741130,-11.75,2.4630496118325400,2.4630496118325400,12.79,22.97,88.15,82.43,73.76,15.98,93.51,11.19,,0.5775074869083670,27.94
