bevoegdgezag,year,bestuur_key,sector,groepering,naam,lonenensalarissen,socialelasten,pensioenlasten,lastenpersoneelnietinloondienst,personeelslasten,lonenensalarissentotaalpersoneel,socialelastentotaalpersoneel,pensioenlastentotaalpersoneel,lastenpersoneelnietinloondienstt,afschrijvingenopmateriãlevasteac,afschrijvingen,huurlasten,onderhoudslastenkleinonderhoud,lastenvoorenergieenwater,schoonmaakkosten,belastingenenheffingen,overigeoverigehuisvestingslasten,huisvestingslasten,administratieenbeheerslasten,inventarisenapparatuur,overigeoverigeoverigelasten,overigelasten,accountantshonorariainzakehetond,accountantshonoraria,bevoegd_gezagnaam,postcode_bevoegd_gezag,eenpitter,aantal_leerlingen,categorie_bestuuromvang,aantal_gewichtleerlingen,gemiddeld_leerlinggewicht,aandeel_apcg_leerlingen,aandeel_lwoo_leerlingen,aantal_voltijdleerlingen,aantal_deeltijdleerlingen,aantal_leerlingen_vbo_groen,aantal_bol_leerlingen,aantal_bol_deeltijdleerlingen,aantal_bbl_leerlingen,aandeel_leerlingen_randstad,omvang_formatie_totaal,omvang_formatie_manager,omvang_formatie_op,omvang_formatie_lio,omvang_formatie_oop_obp,omvang_formatie_onbekend,leerling_leraar_ratio,gewogen_deelnemer_leraar_ratio,omvang_formatie_op_la,omvang_formatie_op_lb,omvang_formatie_op_lc,omvang_formatie_op_ld,omvang_formatie_op_le,omvang_formatie_op_overig,aandeel_formatie_op_la,aandeel_formatie_op_lb,aandeel_formatie_op_lc,aandeel_formatie_op_ld,aandeel_formatie_op_le,aandeel_formatie_op_overig,streefpercentage_formatie_op_la,streefpercentage_formatie_op_lb,streefpercentage_formatie_op_lc,streefpercentage_formatie_op_ld,streefpercentage_formatie_op_le,streefpercentage_formatie_op_ove,omvang_formatie_op_brutsal,loonsom_op_brutsal,gemiddelde_loonsom_op_brutsal,solvabiliteiti,solvabiliteitii,rentabiliteit,liquiditeitcurrentratio,liquiditeitquickratio,weerstandsvermogenexclusiefmater,weerstandsvermogen,personeelslastenrijksbijdragen,personeelslastentotaalbatenplusf,personeelslastentotaallastenplus,voorzieningentotaalbatenplusfina,rijksbijdragentotaalbatenplusfin,overigeoverheidsbijdragenensubsi,huisvestingsratio,kapitalisatiefactor,algemenereservetotaalbatenplusfi,investeringeninventarisenapparat,nettowerkkapitaal,aantalinstellingen,variatieinlb,merge_bestuurs_kenmerk_fin
41362,2015,41362-2015,PO,BO5,Stg. OBO Duin- en Bollenstreek,11872652,,,1256940,12832598,.93000001,0,0,.1,342235,342235,235719,59381,209376,391453,16743,339995,1502667,377687,159978,145802,1047880,11792,13607,Stg. Openbaar Basisonderwijs Duin- en Bollenstreek,2201,0,3100,3,3350.2,1.1,0,0,0,0,0,0,0,0,,179.89999,17.700001,150.7,0,11.4,0,20.6,,130.8,20,0,0,0,0,86.699997,13.3,0,0,0,0,,,,,,,150.73,476274.22,3159.8601,.39,.61,-.03,1.64,1.64,.01,.12,.87,.83999997,.81999999,.07,.95999998,.02,.1,.32,.08,.02,.08,10,1.474223,matched (3)
41362,2016,41362-2016,PO,BO5,Stg. OBO Duin- en Bollenstreek,9310518,1330038,1104415,782845,13022798,.70999998,.1,.079999998,.059999999,364242,364242,281112,58795,230635,400438,19294,315476,1555750,342951,166939,172966,1078330,15125,15125,Stg. Openbaar Basisonderwijs Duin- en Bollenstreek,2201,0,3020,3,3242,1.1,0,0,0,0,0,0,0,0,,197.2,17.5,165.2,0,14.5,0,18.299999,,146.60001,18.5,0,0,0,0,88.800003,11.2,0,0,0,0,,,,,,,165.17,531464.69,3217.6001,.42,.66,.02,1.92,1.92,.03,.13,.82999998,.80000001,.81,.07,.97000003,.02,.1,.31,.1,.02,.1,10,1.1965227,matched (3)
41364,2012,41364-2012,PO,BO5,Stichting De Blauwe Loper,7942464,1734665,1122206,104642,10344498,.76999998,.17,.11,.0099999998,220728,220728,18210,339319,290294,320736,31943,75203,1075705,219282,485791,102865,1005553,32050,32050,Stichting De Blauwe Loper,1703,0,2544,3,2679.6001,1.1,0,0,0,0,0,0,0,0,,152.2,12,130.39999,0,9.8000002,0,19.5,,116.8,13.6,0,0,0,0,89.599998,10.4,0,0,0,0,,,,,,,130.42999,402488.13,3085.8201,.37,.65,.04,2.22,2.22,.07,.15,.85000002,.79000002,.81999999,.12,.93000001,.02,.09,.42,.12,.01,.18,8,1.5122713,matched (3)
41364,2013,41364-2013,PO,BO5,Stichting De Blauwe Loper,7354456,1571943,1115098,185704,9768033,.75,.16,.11,.02,222468,222468,33449,357914,253609,290142,29601,43629,1008344,270972,787155,33398,1091525,24115,24115,Stichting De Blauwe Loper,1703,0,2436,2,2553.8999,1,0,0,0,0,0,0,0,0,,144.60001,11,123.1,0,10.5,0,19.799999,,101.4,21.700001,0,0,0,0,82.400002,17.6,0,0,0,0,,,,,,,123.15,383940.16,3117.73,.48,.73,.08,3,3,.16,.23,.80000001,.75,.81,.12,.94,.02,.08,.48,.15,.01,.26,8,2.9983032,matched (3)
41364,2014,41364-2014,PO,BO5,Stichting De Blauwe Loper,7385046,1651201,1026947,175945,9557596,.76999998,.17,.11,.02,217661,217661,42689,71920,239529,256017,26734,39793,676682,246833,754949,32823,1034605,11495,11495,Stichting De Blauwe Loper,1703,0,2354,2,2450.3,1,0,0,0,0,0,0,0,0,,137.7,10.7,117.3,0,9.6999998,0,20.1,,93.900002,23.299999,0,0,0,0,80.099998,19.9,0,0,0,0,58,40,2,0,0,0,117.29,374145.38,3189.9399,.49,.6800000000000001,.03,2.64,2.64,.2,.28,.83999997,.81,.82999998,.11,.95999998,-.01,.06,.57,.15,.01,.3,8,3.0867226,matched (3)
41364,2015,41364-2015,PO,BO5,Stichting De Blauwe Loper,7087537,1036517,875867,143772,9235313,.76999998,.11,.090000004,.02,186794,186794,35563,408048,214103,262689,30403,34408,985214,244661,542320,,965828,11495,11495,Stichting De Blauwe Loper,1703,0,2311,2,2400.3999,1,0,0,0,0,0,0,0,0,,127.4,8.6000004,110.8,0,8.1000004,0,20.9,,84.099998,26.700001,0,0,0,0,75.900002,24.1,0,0,0,0,,,,,,,110.79,360236.41,3251.53,.55,.72,.02,2.92,2.92,.21,.31,.81,.80000001,.81,.090000004,.98000002,0,.09,.5600000000000001,.16,.01,.3,8,2.8505325,matched (3)
41364,2016,41364-2016,PO,BO5,Stichting De Blauwe Loper,7277077,1022182,850535,155536,9444590,.76999998,.11,.090000004,.02,187411,187411,35970,140019,174158,235495,29507,50891,1066040,221510,528237,33820,984589,14218,14218,Stichting De Blauwe Loper,1703,0,2330,2,2407.1001,1,0,0,0,0,0,0,0,0,,131.39999,8.3999996,112.9,0,10.2,0,20.6,,87.5,25.4,0,0,0,0,77.5,22.5,0,0,0,0,,,,,,,112.85,377732.75,3347.1499,.59,.76,.03,3.21,3.21,.21,.32,.80000001,.79000002,.81,.090000004,.98000002,.01,.09,.55,.15,.02,.3,8,2.680052,matched (3)
41366,2012,41366-2012,PO,BO4,Stg. PCPO  Duin-/Bollenstreek,6708528,1453825,898174,5919,8851569,.75999999,.16,.1,0,307981,307981,54569,29492,187475,256996,23384,40003,752769,305738,283699,381665,971102,14568,14568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
41366,2013,41366-2013,PO,BO4,Stg. PCPO  Duin-/Bollenstreek,6333079,1318427,914926,11308,8420315,.75,.16,.11,0,296641,296641,58210,35278,222898,243416,29910,55842,809104,384127,291686,378330,1054143,16718,16718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
41366,2014,41366-2014,PO,BO4,Stg. PCPO  Duin-/Bollenstreek,5828055,1463347,883762,8852,8091242,.72000003,.18000001,.11,0,290225,290225,63186,38676,201550,250237,27569,12012,759102,352809,270633,431227,1054669,12705,12705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
