BEVOEGD_GEZAGNUMMER,JAAR,Key,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL,Solvabiliteit I(%),Solvabiliteit II(%),Rentabiliteit(%),Liquiditeit (current ratio)(%),Liquiditeit (quick ratio)(%),Weerstandsvermogen exclusief materile vaste activa(%),Weerstandsvermogen(%),Personeelslasten / rijksbijdragen(%),Personeelslasten / totaal baten plus financile baten(%),Personeelslasten / totaal lasten plus financile lasten(%),Voorzieningen / totaal baten plus financile baten(%),Rijksbijdragen / totaal baten plus financile baten(%),Overige overheidsbijdragen en -subsidies / totaal baten plus financile baten(%),Huisvestingsratio(%),Kapitalisatiefactor(%),Algemene reserve / totaal baten plus financile baten,Investeringen inventaris en apparatuur / totaal baten plus financile baten(%),Netto werkkapitaal(%),Aantal instellingen,Variatie in LB
62584,2013,62584-2013,Stichting 'De Vrije School Almere',1312,1,242,1,242.9,1,0,0,0,0,0,0,0,0,,16.2,0.8,13.6,0,1.9,0,17.9,,13.4,0.2,0,0,0,0,98.5,1.5,0,0,0,0,,,,,,,13.55,40205.87,2966.61,0.30,0.58,0.08,1.93,1.93,0.04,0.08,0.88,0.78,0.85,0.07,0.88,0.03,0.04,0.26,0.08,0.01,0.10,1,0
62584,2014,62584-2014,Stichting 'De Vrije School Almere',1312,1,282,1,283.2,1,0,0,0,0,0,0,0,0,,15.9,0.8,13.6,0,1.6,0,20.8,,12.7,0.8,0,0,0,0,93.8,6.2,0,0,0,0,58,40,2,0,0,0,13.55,40360.62,2978.23,0.41,0.68,0.06,2.19,2.19,0.05,0.14,0.89,0.79,0.84,0.09,0.89,0.03,0.06,0.32,0.14,0.06,0.13,1,0
62584,2015,62584-2015,Stichting 'De Vrije School Almere',1312,1,302,1,302.6,1,0,0,0,0,0,0,0,0,,18.2,0.8,13.9,0.8,2.7,0,21.7,,9.3,4,0.6,0,0,0,67,28.7,4.3,0,0,0,,,,,,,13.95,44719.86,3206.46,0.40,0.64,-0.01,1.74,1.74,0.01,0.11,0.92,0.85,0.84,0.07,0.92,0.02,0.05,0.27,0.11,0.02,0.07,1,0
62584,2016,62584-2016,Stichting 'De Vrije School Almere',1312,1,338,1,339.5,1,0,0,0,0,0,0,0,0,,20.7,1.3,15.7,0.8,3,0,21.5,,11.2,3.9,0.6,0,0,0,71.4,24.8,3.8,0,0,0,,,,,,,15.72,51721.11,3289.25,0.46,0.63,0.03,1.69,1.69,0.03,0.13,0.89,0.81,0.84,0.05,0.91,0.02,0.05,0.27,0.13,0.02,0.07,1,0
62584,2017,62584-2017,Stichting 'De Vrije School Almere',1312,1,395,1,396.8,1,0,0,0,0,0,0,0,0,,24.5,1.4,17.3,0.8,5.1,0,22.9,,11.6,5.1,0.6,0,0,0,67.3,29.2,3.5,0,0,0,,,,,,,17.28,57284.55,3315.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0
62662,2012,62662-2012,Stichting Protestants Christelijk Onderwijs Utrecht,3563,0,7093,3,8169.7,1.2,0,0,0,0,0,0,0,0,,513.5,39.6,391.6,0,82.4,0,18.1,,309.3,78.2,4.1,0,0,0,79,20,1,0,0,0,,,,,,,391.56,1162724.3,2969.46,0.31,0.52,0.02,0.96,0.96,-0.08,0.10,0.88,0.81,0.82,0.07,0.92,0.04,0.06,0.27,0.06,0.02,-0.01,23,7.455605016
62662,2013,62662-2013,Stichting Protestants Christelijk Onderwijs Utrecht,3563,0,7227,3,8358.6,1.2,0,0,0,0,0,0,0,0,,490.2,38,374.6,0,76.6,1,19.3,,294.8,75.6,4.2,0,0,0,78.7,20.2,1.1,0,0,0,,,,,,,374.58,1117781.26,2984.09,0.41,0.58,0.06,1.15,1.15,-0.03,0.16,0.84,0.76,0.81,0.07,0.91,0.05,0.07,0.34,0.12,0.03,0.02,23,6.240975251
62662,2014,62662-2014,Stichting Protestants Christelijk Onderwijs Utrecht,3563,0,7298,3,8390.3,1.1,0,0,0,0,0,0,0,0,,515.8,36.9,395.7,0,78.2,5,18.4,,295.1,96.1,3.5,0,0,1,74.6,24.3,0.9,0,0,0.3,58,40,2,0,0,0,395.71,1188878.67,3004.41,0.39,0.59,0.00,1.25,1.25,-0.02,0.17,0.88,0.80,0.80,0.08,0.91,0.06,0.08,0.37,0.13,0.03,0.04,23,6.415261806
62662,2015,62662-2015,Stichting Protestants Christelijk Onderwijs Utrecht,3563,0,7305,3,8235.3,1.1,0,0,0,0,0,0,0,0,,528.9,34.3,404,0,81.6,9,18.1,,285.2,113.6,5.2,0,0,0,70.6,28.1,1.3,0,0,0,,,,,,,404.05,1234652.02,3055.7,0.42,0.67,0.01,1.56,1.56,-0.01,0.17,0.89,0.79,0.80,0.10,0.89,0.07,0.07,0.34,0.14,0.03,0.07,23,7.229157091
62662,2016,62662-2016,Stichting Protestants Christelijk Onderwijs Utrecht,3563,0,7288,3,8154.4,1.1,0,0,0,0,0,0,0,0,,531,31.9,404.2,0.4,88.6,6,18,,284.5,114.5,5.2,0,0,0,70.4,28.3,1.3,0,0,0,,,,,,,404.18,1286213.96,3182.28,0.39,0.64,0.00,1.58,1.58,0.00,0.17,0.88,0.81,0.81,0.11,0.91,0.06,0.07,0.38,0.14,0.02,0.09,23,7.356368251
62662,2017,62662-2017,Stichting Protestants Christelijk Onderwijs Utrecht,3563,0,7348,3,8151.1,1.1,0,0,0,0,0,0,0,0,,519.1,33.3,393.4,0.4,86.1,6,18.7,,267.1,120.4,5.9,0,0,0,67.9,30.6,1.5,0,0,0,,,,,,,393.4,1258041.51,3197.86,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23,6.945018096
62778,2012,62778-2012,Stichting Katholiek Onderwijs Maasland,3155,1,234,1,234.9,1,0,0,0,0,0,0,0,0,,14,1.1,12.3,0,0.6,0,19.1,,8.9,3.4,0,0,0,0,72.6,27.4,0,0,0,0,,,,,,,12.26,40235.47,3282.47,0.86,0.87,-0.04,4.42,4.42,0.54,1.00,0.93,0.88,0.83,0.02,0.94,0.02,0.05,1.16,0.82,0.04,0.52,1,0
62778,2013,62778-2013,Stichting Katholiek Onderwijs Maasland,3155,1,234,1,234.3,1,0,0,0,0,0,0,0,0,,13.8,1.1,12.1,0,0.6,0,19.4,,8.7,3.4,0,0,0,0,72.1,27.9,0,0,0,0,,,,,,,12.06,39693.31,3290.17,0.85,0.86,-0.05,4.23,4.23,0.51,0.92,0.92,0.87,0.82,0.02,0.94,0.02,0.04,1.08,0.74,0.02,0.49,1,0
62778,2014,62778-2014,Stichting Katholiek Onderwijs Maasland,3155,1,228,1,228.3,1,0,0,0,0,0,0,0,0,,14.6,1.1,12.8,0,0.6,0,17.8,,8.8,4.1,0,0,0,0,68.3,31.7,0,0,0,0,58,40,2,0,0,0,12.82,42339.04,3301.7,0.86,0.87,-0.08,4.44,4.44,0.46,0.86,0.96,0.90,0.83,0.02,0.93,0.02,0.04,0.98,0.67,0.00,0.44,1,0
