BEVOEGD_GEZAGNUMMER,JAAR,key,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL,Solvabiliteit I(%),Solvabiliteit II(%),Rentabiliteit(%),Liquiditeit (current ratio)(%),Liquiditeit (quick ratio)(%),Weerstandsvermogen exclusief materiÔle vaste activa(%),Weerstandsvermogen(%),Personeelslasten / rijksbijdragen(%),Personeelslasten / totaal baten plus financiÔle baten(%),Personeelslasten / totaal lasten plus financiÔle lasten(%),Voorzieningen / totaal baten plus financiÔle baten(%),Rijksbijdragen / totaal baten plus financiÔle baten(%),Overige overheidsbijdragen en -subsidies / totaal baten plus financiÔle baten(%),Huisvestingsratio(%),Kapitalisatiefactor(%),Algemene reserve / totaal baten plus financiÔle baten,Investeringen inventaris en apparatuur / totaal baten plus financiÔle baten(%),Netto werkkapitaal(%),Aantal instellingen,Variatie in LB
41842,2016,41842-2016,"OCTHO, Stichting Openbaar Prim. Onderw. Tholen",4691,0,878,2,933.8,1.1,0,0,0,0,0,0,0,0,,57.6,4.9,45.2,0,7.5,0,19.4,,27.1,18.2,0,0,0,0,59.9,40.1,0,0,0,0,,,,,,,45.21,153522.08,3395.42,0.7,0.83,0.02,4.62,4.62,0.31,0.44,0.79,0.77,0.79,0.08,0.98,0,0.08,0.62,0.44,0.01,0.39,8,0.856904729
41845,2012,41845-2012,Ver. voor Christel. Onderwijs in Midden en Oost Groningen,9665,0,2644,3,2742.7,1,0,0,0,0,0,0,0,0,,177.1,23.9,141.2,0,12,0,18.7,,132.9,8.3,0,0,0,0,94.1,5.9,0,0,0,0,,,,,,,131.44,404331.57,3076.29,0.84,0.85,0.03,4.53,4.53,0.64,0.64,0.93,0.83,0.84,0.01,0.89,0.01,0.06,0.76,0.3,0,0.39,20,0.423767563
41845,2013,41845-2013,Ver. voor Christel. Onderwijs in Midden en Oost Groningen,9665,0,2577,3,2685.3,1,0,0,0,0,0,0,0,0,,175.8,22,141.9,0,11.9,0,18.2,,130.4,11.6,0,0,0,0,91.9,8.1,0,0,0,0,,,,,,,141.94,440531.3,3103.73,0.85,0.86,0.05,4.93,4.93,0.69,0.68,0.91,0.81,0.84,0.01,0.9,0.01,0.06,0.8,0.34,0.01,0.44,20,0.445887642
41845,2014,41845-2014,Ver. voor Christel. Onderwijs in Midden en Oost Groningen,9665,0,2521,3,2636.2,1,0,0,0,0,0,0,0,0,,175.8,21.7,141.4,0,12.6,0,17.8,,127.6,13.9,0,0,0,0,90.2,9.8,0,0,0,0,58,40,2,0,0,0,141.43,445436.13,3149.59,0.86,0.87,0.03,5.21,5.21,0.73,0.76,0.89,0.82,0.83,0.01,0.93,0.01,0.06,0.88,0.4,0.02,0.48,20,0.684336021
41845,2015,41845-2015,Ver. voor Christel. Onderwijs in Midden en Oost Groningen,9665,0,2453,2,2578.1,1.1,0,0,0,0,0,0,0,0,,181.1,22.2,145.4,0,13.6,0,16.9,,130.6,14.8,0,0,0,0,89.8,10.2,0,0,0,0,,,,,,,145.36,462931.14,3184.66,0.84,0.86,0.02,4.79,4.79,0.73,0.73,0.89,0.81,0.82,0.01,0.91,0.01,0.06,0.87,0.39,0.01,0.48,20,0.817827675
41845,2016,41845-2016,Ver. voor Christel. Onderwijs in Midden en Oost Groningen,9665,0,2407,2,2535.7,1.1,0,0,0,0,0,0,0,0,,178.4,21.2,143.5,0,13.6,0,16.8,,128.1,15.3,0,0,0,0,89.3,10.7,0,0,0,0,,,,,,,143.48,469106.46,3269.38,0.84,0.85,0,4.7,4.7,0.7,0.73,0.89,0.83,0.83,0.01,0.93,0.01,0.06,0.87,0.39,0.01,0.47,20,0.938013018
41850,2012,41850-2012,Sticht. Proloog Primair O.O. Leeuwarden,8913,0,4059,3,4291.5,1.1,0,0,0,0,0,0,0,0,,226,19.7,188.4,0,17.9,0,21.5,,160.4,28,0,0,0,0,85.1,14.9,0,0,0,0,,,,,,,188.42,601321.47,3191.45,0.07,0.21,0.02,0.3,0.3,-0.22,0.02,0.88,0.76,0.77,0.04,0.86,0.04,0.09,0.18,0.01,0.01,-0.13,20,1.967766567
41850,2013,41850-2013,Sticht. Proloog Primair O.O. Leeuwarden,8913,0,3966,3,4160.1,1,0,0,0,0,0,0,0,0,,214.7,20.3,179.8,0,14.6,0,22.1,,139.3,40.4,0,0,0,0,77.5,22.5,0,0,0,0,,,,,,,179.77,575853.4,3203.24,0.23,0.36,0.05,0.61,0.61,-0.14,0.07,0.85,0.75,0.8,0.04,0.88,0.03,0.09,0.23,0.05,0.01,-0.07,20,2.148169355
41850,2014,41850-2014,Sticht. Proloog Primair O.O. Leeuwarden,8913,0,3816,3,3988.8,1,0,0,0,0,0,0,0,0,,207,18.1,175.9,0,13,0,21.7,,136.5,39.4,0,0,0,0,77.6,22.4,0,0,0,0,58,40,2,0,0,0,175.88,573768.74,3262.21,0.37,0.52,0.01,1.02,1.02,-0.08,0.15,0.89,0.79,0.79,0.06,0.88,0.04,0.11,0.32,0.12,0.05,0,20,2.116203154
41850,2015,41850-2015,Sticht. Proloog Primair O.O. Leeuwarden,8913,0,3719,3,3864.2,1,0,0,0,0,0,0,0,0,,204.6,17.6,174.1,0,12.8,0,21.4,,135.9,38.2,0,0,0,0,78,22,0,0,0,0,,,,,,,174.13,569916.27,3272.85,0.47,0.67,0.01,1.39,1.39,-0.03,0.14,0.86,0.79,0.8,0.06,0.92,0.03,0.11,0.24,0.12,0.01,0.04,20,1.792058505
41850,2016,41850-2016,Sticht. Proloog Primair O.O. Leeuwarden,8913,0,3669,3,3804,1,0,0,0,0,0,0,0,0,,202.5,16.9,174.2,0,11.4,0,21.1,,133.2,41,0,0,0,0,76.5,23.5,0,0,0,0,,,,,,,174.22,593547.67,3406.96,0.43,0.64,0.01,1.57,1.57,-0.02,0.15,0.83,0.8,0.8,0.08,0.96,0.02,0.1,0.3,0.15,0.01,0.07,20,1.640571146
