,ONDERWIJSSECTOR,JAAR,BEVOEGD_GEZAGNUMMER,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL,Bevoegd Gezag,Sector,Groepering,Naam,Jaar,ImmateriÃ«le vaste activa,MateriÃ«le vaste activa,FinanciÃ«le vaste activa,Totaal van vaste activa,Voorraden,Vorderingen,Effecten (kortlopend),Liquide middelen,Totaal van vlottende activa,Totaal van activa,Eigen vermogen,Voorzieningen,Langlopende schulden,Kortlopende schulden,Totaal van passiva
1202,1,2014,40020,"Stg. Onderwijsgr. Amstelland, stg. voor RK/PC basisonderwijs",1185,0,4073,3,4139.0,1.0,0.0,0.0,0,0,0,0,0,0,,231.3,14.4,199.0,0.0,17.9,0.0,20.5,,158.2,40.8,0.0,0.0,0.0,0.0,79.5,20.5,0.0,0.0,0.0,0.0,58.0,40.0,2.0,0.0,0.0,0.0,199.04,620117.96,3115.61,40020,PO,BO5,Stg. Onderwijsgr. Amstelland,2014,,2.323.421,,2.323.421,,1.320.608,,3.767.542,5.088.150,7.411.571,4.361.116,1.091.816,,1.958.639,7.411.571
1203,1,2015,40020,"Stg. Onderwijsgr. Amstelland, stg. voor RK/PC basisonderwijs",1185,0,4127,3,4198.1,1.0,0.0,0.0,0,0,0,0,0,0,,230.0,11.8,197.7,0.0,20.5,0.0,20.9,,145.5,52.2,0.0,0.0,0.0,0.0,73.6,26.4,0.0,0.0,0.0,0.0,,,,,,,197.74,625990.21,3165.75,40020,PO,BO5,Stg. Onderwijsgr. Amstelland,2015,,3.069.866,,3.069.866,2.505,924.863,,2.948.435,3.875.803,6.945.669,4.410.080,469.129,,2.066.460,6.945.669
1204,1,2016,40020,"Stg. Onderwijsgr. Amstelland, stg. voor RK/PC basisonderwijs",1185,0,4174,3,4265.8,1.0,0.0,0.0,0,0,0,0,0,0,,239.2,14.5,202.7,0.0,22.0,0.0,20.6,,153.1,49.6,0.0,0.0,0.0,0.0,75.5,24.5,0.0,0.0,0.0,0.0,,,,,,,202.69,662184.55,3267.04,40020,PO,BO5,Stg. Onderwijsgr. Amstelland,2016,,3.412.623,,3.412.623,3.457,1.245.208,,2.915.188,4.163.853,7.576.476,4.800.516,796.934,,1.979.026,7.576.476
1205,1,2012,40048,Stichting Islamitische Basisscholen,2332,1,120,1,139.2,1.2,0.0,0.0,0,0,0,0,0,0,,8.4,1.0,7.4,0.0,0.0,0.0,16.3,,6.9,0.5,0.0,0.0,0.0,0.0,93.5,6.5,0.0,0.0,0.0,0.0,,,,,,,7.37,22495.03,3052.41,40048,PO,BO1,Sticht. Islam. Basisscholen,2012,,101.360,,101.360,,53.255,,763.710,816.965,918.325,693.164,168.947,,56.214,918.325
1206,1,2013,40048,Stichting Islamitische Basisscholen,2332,1,109,1,122.5,1.1,0.0,0.0,0,0,0,0,0,0,,9.1,1.0,8.1,0.0,0.0,0.0,13.4,,7.6,0.5,0.0,0.0,0.0,0.0,94.1,5.9,0.0,0.0,0.0,0.0,,,,,,,8.12,24395.29,3004.31,40048,PO,BO1,Sticht. Islam. Basisscholen,2013,,94.896,,94.896,,91.164,,687.281,778.445,873.341,647.572,152.183,,73.586,873.341
1207,1,2014,40048,Stichting Islamitische Basisscholen,2332,1,97,1,106.6,1.1,0.0,0.0,0,0,0,0,0,0,,9.2,1.0,8.2,0.0,0.0,0.0,11.9,,7.7,0.5,0.0,0.0,0.0,0.0,94.1,5.9,0.0,0.0,0.0,0.0,58.0,40.0,2.0,0.0,0.0,0.0,8.18,25010.23,3059.02,40048,PO,BO1,Sticht. Islam. Basisscholen,2014,,149.088,,149.088,,48.481,,603.847,652.328,801.416,564.439,172.582,,64.395,801.416
1208,1,2015,40048,Stichting Islamitische Basisscholen,2332,1,89,1,95.0,1.1,0.0,0.0,0,0,0,0,0,0,,8.1,0.7,7.4,0.0,0.0,0.0,12.1,,6.6,0.8,0.0,0.0,0.0,0.0,89.1,10.9,0.0,0.0,0.0,0.0,,,,,,,7.36,23344.56,3171.38,40048,PO,BO1,Sticht. Islam. Basisscholen,2015,,134.632,,134.632,,36.569,,593.753,630.322,764.954,487.804,209.997,,67.153,764.954
1209,1,2016,40048,Stichting Islamitische Basisscholen,2332,1,63,1,67.8,1.1,0.0,0.0,0,0,0,0,0,0,,8.7,1.3,6.2,0.0,1.1,0.0,10.1,,4.7,1.5,0.0,0.0,0.0,0.0,75.5,24.5,0.0,0.0,0.0,0.0,,,,,,,6.23,19497.85,3131.98,40048,PO,BO1,Sticht. Islam. Basisscholen,2016,,126.368,6.600,132.968,,32.634,,384.507,417.141,550.109,247.422,209.945,,92.742,550.109
1210,1,2012,40077,Stichting Noor,1065,0,561,2,857.1,1.5,0.0,0.0,0,0,0,0,0,0,,45.2,3.0,37.6,0.0,4.6,0.0,14.9,,36.8,0.8,0.0,0.0,0.0,0.0,97.9,2.1,0.0,0.0,0.0,0.0,,,,,,,31.1,82123.3,2640.62,40077,PO,BO3,Stichting Noor,2012,,298.393,,298.393,,304.205,,104.808,409.013,707.406,-696.052,38.060,449.263,916.136,707.407
1211,1,2013,40077,Stichting Noor,1065,0,639,2,954.3,1.5,0.0,0.0,0,0,0,0,0,0,,46.4,3.0,37.9,0.0,5.5,0.0,16.9,,34.1,3.8,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,,,,,,,37.91,105371.73,2779.42,40077,PO,BO3,Stichting Noor,2013,,239.305,,239.305,,434.809,,378.320,813.129,1.052.434,-331.552,26.703,403.242,954.041,1.052.434
